n. ,Hydrogenotrophic reactions,e- transferred,ΔG° (kJ/mol)a,Origin of the electron acceptor,Threat to UHS operations,Likelihood in porous reservoirs,Likelihood in salt caverns,Likelihood in deep aquifers
Oxygen as an electron acceptor,,,,,,,,
1,H2(gas) + 1/2O2(gas) ↔ H2O(aq),4,-227.71,Possible contamination during gas injection or due to underground aquifers mixing ,"H2 consumption, biofilm formation, clogging and steel corrosion",Low. Oxygen presence is potentially connected with infiltrations from surface sources and acquifers,Low. Oxygen presence is potentially connected with infiltrations from surface sources and acquifers,Medium. Oxygen presence could be due to entrainment of fresh surface waters as result of the geological setting of the reservoir 
Nitrate as an electron acceptor,,,,,,,,
2,H2(aq) + 1/4NO3- + 1/2H+ ↔ 1/4NH4+ + 3/4H2O,8,-187.59," Nitrate content in injected fluids, contaminations from surface reservoir/surface water from agricultural origins, organic matter decay, underground aquifers mixing ","H2 consumption, generation of highly reactive nitrogen species intermediate, biofilm formation, pore clogging, changes in pH, can lead to MICP when a organic carbon source is degraded",Low. Nitrate presence could be linked to organic matter degradation and underground aquifers infiltration,Low. The nitrate content could be only associated to percolation of meteoric water or presence of acquifers into the cave,"Low to medium. Nitrate could be due to entrainment of fresh surface waters, agricultural contaminations and organic matter decay as result of the geological setting of the reservoir "
,H2(aq) + NO3-(aq) ↔ NO2-(aq) + H2O(aq),2,-176.01,,,,,
,3H2(aq) + 2H+ + 2NO3- ↔ 2NO(aq) + 4H2O,6,-b,,,,,
,4H2(aq)  + 2NO3- + 2H+ ↔ N2O(aq) + 5H2O,8,,,,,,
,H2(aq) + 2/5NO3- + 2/5H+ ↔ 1/5N2(aq) + 6/5H2O,10,-254.18,,,,,
Nitrite as an electron acceptor,,,,,,,,
3,H2(aq) + 1/3NO2- + 2/3H+ ↔ 1/3NH4+ + 2/3H2O,6,-191.45,Nitrite is generally a byproduct of microbial denitrification,same as above,Low. depends on presence of nitrate and microbial activity,Low. depends on presence of nitrate and microbial activity,Low. depends on presence of nitrate and microbial activity
,H2(aq) + NO2- + H+ ↔ 1/2N2O(aq) + 3/2H2O,4,,,,,,
,H2(aq) + 2NO2- + 2H+ ↔ 2NO(aq) + 2H2O,2,,,,,,
,H2(aq) + 2/3NO2- + 2/3H+ ↔ 1/3N2(aq) + 4/3H2O,6,-306.29,,,,,
Nitric oxide as an electron acceptor,,,,,,,,
4,H2(aq) + 2NO(aq) ↔ N2O(aq) + H2O,2,,Nitric oxide is generally a byproduct of microbial denitrification,"H2 consumption, generation of highly reactive nitrogen species intermediate, biofilm formation, pore clogging, changes in pH if reduced to ammonia",Low. depends on presence of nitrate and microbial activity,Low. depends on presence of nitrate and microbial activity,Low. depends on presence of nitrate and microbial activity
,2H2(aq) + 2NO(aq) ↔ N2(aq) + 2H2O,4,,,,,,
,5H2(aq) + 2NO(aq) + 2H+ ↔ 2NH4+ + 2H2O,10,,,,,,
Nitrous Oxide as an electron acceptor,,,,,,,,
